Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Nutrition_Score,Nutrition_Label,Protein_to_Energy,Sugar_to_Carbs,Fat_to_Energy
Mixed vegetable pakora/pakoda,673.81,5.12,1.94,71.86,0.38,1.13,0.0,9.55,17,Unhealthy,0.002879149908723707,0.07421874998550415,0.10664727445406473
Spinach pakora/pakoda (Palak pakoda),712.62,4.68,1.96,76.38,0.2,1.02,0.0,10.99,17,Unhealthy,0.0027504139653633766,0.04273504272591132,0.10718194830329322
Methi pakora/pakoda (Methi ke pakode),713.25,4.68,2.06,76.39,0.25,1.18,0.0,23.07,17,Unhealthy,0.0028881878724109525,0.053418803407389144,0.10710129688032653
Egg pakora/pakoda (Ande ke pakode),710.51,4.48,2.83,75.86,0.19,0.86,28.39,9.55,18,Unhealthy,0.003983054425688614,0.0424107142762476,0.10676837764407712
Bread pakora/pakoda,710.99,8.87,2.57,74.2,0.46,1.11,0.0,19.83,17,Unhealthy,0.0036146781248630575,0.05186020292538217,0.10436152407192174
Paneer pakora/pakoda,718.12,5.52,3.27,76.05,1.08,0.89,0.0,43.38,18,Unhealthy,0.004553556508655164,0.19565217387759926,0.10590152063707194
Potato bonda (Aloo bonda),632.84,4.53,1.09,67.8,0.27,0.83,0.0,6.79,17,Unhealthy,0.0017223942860727477,0.0596026489934652,0.1071360849502131
Potato samosa (Aloo ka samosa),577.39,9.21,1.71,59.19,0.29,1.19,2.33,7.63,16,Unhealthy,0.002961603075905434,0.03148751356878528,0.10251303278528809
Minced meat samosa (Keema ka samosa),620.99,6.14,4.43,64.26,0.5,0.39,16.71,6.7,17,Unhealthy,0.007133770270041169,0.08143322474243758,0.10347992721283197
Paneer and pea samosa (Paneer matar ka samosa),623.81,8.55,4.02,63.65,1.69,1.02,0.0,64.56,16,Unhealthy,0.0064442698898599824,0.19766081869033203,0.1020342732561164
Mathri,805.12,12.32,1.75,83.1,0.29,0.6,0.0,5.23,20,Unhealthy,0.0021735890302039774,0.023538961037050405,0.10321442766282887
Khasta kachori,712.73,12.81,2.51,72.27,0.34,0.97,0.0,7.84,17,Unhealthy,0.0035216701976856285,0.026541764244610324,0.10139884668794438
Vegetable cutlet,665.45,4.68,1.25,71.33,0.35,0.93,6.77,13.55,17,Unhealthy,0.001878428131336872,0.0747863247703448,0.10719062288660726
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,7.39,1.76,73.89,0.27,0.86,6.9,9.17,18,Unhealthy,0.002508158641030471,0.03653585926433886,0.1052999102191713
Peanut cutlet (Mungfali ke cutlet),698.77,5.68,2.63,74.0,0.51,1.21,6.75,14.38,17,Unhealthy,0.003763756314661815,0.08978873237855832,0.10590036778896361
Fish cutlet (Machli ka cutlet),654.64,3.13,2.77,70.11,0.29,0.54,11.02,10.44,18,Unhealthy,0.004231333251857156,0.0926517571588972,0.10709703042877444
Paneer potato cutlet (Paneer aloo cutlet),672.94,5.23,2.47,71.4,1.02,0.41,13.33,45.36,18,Unhealthy,0.0036704609623388856,0.19502868065104612,0.10610158409352081
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,4.93,1.44,73.6,0.16,0.93,6.98,11.3,17,Unhealthy,0.002092931994241395,0.0324543610481837,0.1069720797056713
Cheese toast,785.37,5.49,1.98,84.11,0.53,0.31,11.55,43.87,19,Unhealthy,0.0025211047022390453,0.09653916209534806,0.10709601843703338
Vegetable burger,519.93,13.69,3.26,50.63,1.88,1.7,7.4,26.08,15,Unhealthy,0.006270074817751871,0.13732651569486293,0.09737849325852063
Cheese pizza,249.5,30.62,5.79,12.43,3.42,1.95,10.64,96.51,2,Healthy,0.02320641282555829,0.11169170476447773,0.04981963927835744
Vegetable seekh kebab,690.73,5.32,1.57,73.72,0.74,0.59,0.0,32.66,18,Unhealthy,0.0022729575955839866,0.13909774433475605,0.10672766493404554
Masala vada,826.02,4.06,1.69,89.15,0.24,1.07,0.0,7.45,19,Unhealthy,0.002045955303743195,0.05911330047805091,0.10792716883355377
Peanut sago vada (Sabudana mungfali vada),749.89,7.14,1.01,79.82,0.19,0.62,0.0,5.03,19,Unhealthy,0.0013468642067485273,0.0266106442539761,0.10644227820066084
Vegeterian scotch egg,681.67,4.64,2.16,72.77,0.23,0.58,34.24,15.2,18,Unhealthy,0.003168688661664488,0.04956896550655842,0.10675253421727998
Paneer shaslik/tikka,93.85,7.98,5.11,4.49,4.61,1.23,0.0,123.86,-1,Healthy,0.05444858817203572,0.5776942355165797,0.04784230154450888
Peanut brittle (Moongfali ki chikki),320.46,47.46,6.94,11.13,43.92,2.63,2.5,68.03,14,Unhealthy,0.021656368969538615,0.9254108722940285,0.03473132372204104
Spring roll,623.87,8.56,1.81,64.63,0.6,0.67,12.15,9.51,17,Unhealthy,0.002901245451772162,0.07009345793573674,0.10359530030278168
Dry mango chutney (Sookhe aam ki chutney),298.13,69.17,2.43,0.7,61.86,3.74,0.0,72.05,9,Moderate,0.008150806695038572,0.8943183460908729,0.0023479690068012346
Peanut chutney (Mungfali ki chutney),258.37,9.87,11.8,19.06,2.76,5.73,0.0,34.79,-1,Healthy,0.045670937028116,0.27963525833033076,0.07377017455558396
Coconut chutney (Nariyal ki chutney),265.92,8.29,3.59,25.0,3.79,6.73,0.0,15.7,6,Moderate,0.013500300842307834,0.4571773220196409,0.09401323706342504
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,21.18,2.81,0.51,15.88,4.33,0.0,107.45,-1,Healthy,0.027387914229752557,0.7497639281987836,0.004970760233869681
Custard tart,225.6,28.66,3.72,10.73,9.31,0.91,22.28,57.47,4,Moderate,0.01648936170205457,0.32484298672976825,0.04756205673737783
Lemon tart,303.35,30.68,6.12,17.45,10.68,0.81,123.17,24.03,7,Moderate,0.02017471567489641,0.34810951758969655,0.057524311850807565
Jam tart,360.72,46.18,4.42,17.35,14.74,1.14,44.15,12.23,11,Unhealthy,0.012253271235273193,0.31918579470941566,0.04809824794841401
Orange cream tart,197.16,27.43,2.58,8.72,10.08,0.64,22.13,13.84,5,Moderate,0.013085818624401068,0.3674808603584586,0.04422803814138655
Pineapple tart,195.4,28.62,2.29,8.21,11.09,0.87,20.7,12.02,5,Moderate,0.011719549641700515,0.3874912648362162,0.04201637666303984
Cheese and mushroom tart,246.1,21.43,5.51,15.28,3.16,1.18,37.99,100.97,4,Moderate,0.022389272653301952,0.14745683620403843,0.062088581877033366
Cottage cheese pie,238.98,20.66,7.45,13.83,3.62,2.21,20.86,108.05,0,Healthy,0.031174156833077355,0.17521781218900204,0.05787095154382011
Minced meat pie,221.55,18.11,7.38,13.04,1.42,2.33,34.57,18.14,0,Healthy,0.03331076506416921,0.0784097183833015,0.05885804558763774
Apple cinnamon pie,258.73,33.68,3.35,12.21,11.95,1.77,36.52,16.14,6,Moderate,0.012947860704158976,0.3548099762364962,0.04719205349187496
Lemon meringue pie,224.43,35.11,3.88,8.16,21.17,0.44,75.3,16.79,6,Moderate,0.017288241322384313,0.6029621190372271,0.03635877556460206
Chocolate meringue pie,214.76,28.8,4.98,9.17,15.03,0.37,64.11,55.98,5,Moderate,0.02318867573094064,0.5218749999818793,0.042698826596932866
Cream puffs,221.33,16.0,4.7,15.48,5.94,0.38,100.48,37.93,6,Moderate,0.021235259567066213,0.3712499999767969,0.06994081236131595
Chocolate eclairs,239.42,26.22,4.24,13.5,17.34,0.33,85.94,34.21,7,Moderate,0.01770946453922935,0.6613272310960593,0.05638626681122552
Cheese balls,681.28,4.81,2.21,72.57,0.63,0.18,37.78,30.01,18,Unhealthy,0.0032438938468717063,0.13097713094990082,0.10652007984953833
Minced meat patties,265.72,15.25,6.88,19.57,0.88,0.77,81.36,19.23,5,Moderate,0.025891916302777766,0.057704918029002954,0.07364895378566291
Cheese patties,324.01,22.23,7.38,22.67,3.93,1.24,0.0,126.41,10,Moderate,0.022777074781572246,0.17678812414859252,0.06996697632767518
Hot cheese souffle,177.1,5.41,9.18,13.23,2.91,0.12,149.14,169.17,1,Healthy,0.051835121400046105,0.5378927910281159,0.07470355731183116
Hot potato souffle,125.64,8.56,5.51,7.64,1.78,0.66,109.09,56.84,0,Healthy,0.043855460044222735,0.20794392520935234,0.06080865966204386
Hot fish souffle,142.92,3.69,11.23,9.24,1.68,0.1,122.69,58.18,-1,Healthy,0.07857542681165286,0.4552845527221451,0.06465155331608838
Hot spinach souffle,104.25,4.19,5.43,7.24,1.64,0.99,100.84,80.77,-1,Healthy,0.052086330934752165,0.3914081144650577,0.06944844124633623
Plain cream cake,353.94,47.18,6.18,16.17,27.74,0.71,120.92,41.95,15,Unhealthy,0.01746058654004221,0.5879610004114464,0.04568570944214928
Apple cake (Seb ka cake),290.08,39.48,4.94,12.87,23.52,1.22,94.69,38.99,11,Unhealthy,0.01702978488686904,0.5957446808359741,0.04436707115263249
Marble cake,354.11,46.88,6.3,16.27,27.56,0.71,120.14,39.6,15,Unhealthy,0.01779108186716616,0.5878839590318284,0.045946174917268795
Chocolate cake,335.61,45.14,6.01,15.18,27.58,0.64,109.36,41.13,15,Unhealthy,0.017907690474008794,0.61098803720401,0.04523107177960957
Orange cake,357.61,48.28,6.1,16.21,28.38,0.83,123.67,29.72,15,Unhealthy,0.017057688543337553,0.5878210438983467,0.04532871004713143
Fruit Loaf ,324.19,46.49,5.36,13.31,24.54,0.87,90.0,45.71,13,Unhealthy,0.016533514297120414,0.5278554527741911,0.04105617076393148
Banana cake (Kele ka cake),389.51,40.0,5.77,23.31,23.04,1.14,68.99,23.55,15,Unhealthy,0.01481348360757153,0.5759999999856,0.059844419912043735
Chocolate chiffon cake,311.71,37.87,5.76,15.8,24.25,0.7,93.35,42.15,13,Unhealthy,0.018478714189411702,0.6403485608492119,0.05068813961678905
Christmas cake,372.95,48.29,5.49,16.88,27.45,1.49,97.81,40.98,14,Unhealthy,0.014720471913085615,0.5684406709345944,0.04526075881473318
Strawberry and vanilla cake with butter icing,370.54,44.25,3.89,20.39,32.43,0.79,101.12,28.17,17,Unhealthy,0.010498191828114378,0.7328813559156412,0.05502779726870236
Eggless cake,318.08,46.14,8.12,11.75,27.7,0.68,27.68,212.97,12,Unhealthy,0.02552816901400425,0.6003467706848646,0.03694039235400862
Swiss roll,251.87,48.34,7.3,3.77,32.96,0.55,144.66,24.11,11,Unhealthy,0.028983205621832757,0.6818369879875499,0.01496803906771363
Pineapple pastry ,208.21,29.04,6.06,7.87,18.83,0.72,115.34,42.97,5,Moderate,0.02910523029619564,0.6484159779391041,0.03779837663878873
Black forest pastry,233.55,34.48,6.09,8.46,21.35,0.54,113.03,44.15,5,Moderate,0.02607578676931674,0.6191995359449189,0.036223506743582864
Coconut finger,274.86,42.56,7.09,8.86,28.55,1.87,127.97,24.04,10,Moderate,0.02579495015634943,0.6708176691571707,0.03223459215588942
Pineapple cake ,195.57,23.51,5.01,9.34,16.16,0.76,92.79,49.06,5,Moderate,0.025617425985449624,0.6873670778099801,0.04775783606868253
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.8,47.1,6.56,23.62,22.58,1.54,69.03,36.1,16,Unhealthy,0.015442561205236717,0.4794055201596729,0.05560263653470904
Chocolate chip cookies,425.29,57.98,5.79,19.38,30.29,1.05,75.98,24.76,16,Unhealthy,0.013614239695234747,0.5224215246546668,0.04556890592291008
Sweet plain biscuit,380.76,50.29,5.86,17.67,21.77,1.07,76.89,42.88,12,Unhealthy,0.01539027208736372,0.4328892423855063,0.04640718562862064
Chocolate biscuit,379.76,51.56,5.88,17.09,24.16,1.01,72.66,41.51,13,Unhealthy,0.015483463239900245,0.46858029479308416,0.04500210659351959
Coconut biscuit (Nariyal ke biscuit),434.98,42.9,5.78,27.16,20.76,3.64,64.98,37.81,15,Unhealthy,0.013287967262832111,0.4839160839048039,0.06243965239766785
Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,45.09,6.15,22.39,7.22,1.68,55.18,37.24,12,Unhealthy,0.015075007353625174,0.16012419604878855,0.054882831650027254
Peanut biscuit,401.05,46.72,8.45,20.41,21.26,2.48,61.88,50.58,13,Unhealthy,0.0210696920582943,0.4550513698532738,0.05089141004849547
Pin wheel biscuit,404.6,54.56,5.4,18.66,23.25,1.16,44.65,42.7,15,Unhealthy,0.013346515076585897,0.4261363636285532,0.04611962432020237
Saffron biscuit (Kesar biscuit),458.61,59.7,6.05,22.01,22.42,1.9,49.64,25.71,15,Unhealthy,0.013192036806844177,0.37554438860342476,0.047992847953494275
Masala biscuit,393.64,45.18,6.06,20.75,6.82,2.14,51.29,53.73,9,Moderate,0.01539477695352252,0.15095174855796922,0.05271313890851358
Ice box cookies,374.24,56.09,5.7,14.44,26.69,1.28,70.82,18.5,12,Unhealthy,0.015230867892220952,0.4758423961405627,0.03858486532695975
Ginger bread man,365.0,60.26,6.61,11.01,29.12,1.6,75.31,37.92,12,Unhealthy,0.018109589041046276,0.483239296374324,0.030164383561561193
Danish cookies,475.33,58.0,5.33,24.92,21.73,1.37,63.58,15.97,16,Unhealthy,0.011213262365070135,0.37465517240733354,0.0524267351102341
Short bread cookies,443.09,64.82,6.03,17.98,23.31,1.57,45.48,15.92,14,Unhealthy,0.013608973346242054,0.35961123109596405,0.04057866347685442
Coffee biscuit,416.57,46.55,6.9,23.0,21.69,1.59,63.97,48.92,15,Unhealthy,0.016563842811492514,0.46595059075261125,0.05521280937164171
Melting moments,437.91,55.84,5.71,21.78,25.0,1.88,80.33,30.39,16,Unhealthy,0.01303920896984988,0.4477077363816671,0.04973624717396329
Ginger biscuit (Adarak ke biscuit),417.91,58.44,5.98,18.31,27.06,1.49,81.73,25.97,16,Unhealthy,0.014309301045645453,0.4630390143657933,0.04381326122838933
Soyabean muthias,839.33,3.7,2.46,90.45,0.17,1.47,0.0,12.16,19,Unhealthy,0.0029309091775547983,0.045945945933528125,0.10776452646741119
Soyabean tikki,698.17,4.39,3.53,74.02,0.35,2.2,0.0,29.23,16,Unhealthy,0.005056075167931799,0.07972665146247684,0.10602002377629229
Soyabean namak paras,838.46,4.65,2.65,89.83,0.22,1.41,0.0,12.13,19,Unhealthy,0.003160556257897621,0.047311827946814655,0.10713689382903521
Peanut burfi (Moongfali ki burfi),550.99,48.14,9.31,36.84,43.08,4.09,0.0,25.2,21,Unhealthy,0.01689685838215413,0.8948899044267784,0.0668614675401244
Spinach peanut namak paras (Palak moongfali namak paras),740.16,6.62,1.65,78.51,0.28,0.81,0.0,13.35,19,Unhealthy,0.002229247730217481,0.04229607250116374,0.10607166018143907
Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,7.63,2.08,80.04,0.25,1.39,0.0,12.13,18,Unhealthy,0.002740845181775039,0.032765399733582515,0.10546983093715102
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,11.13,2.74,82.44,0.15,1.18,0.0,4.99,18,Unhealthy,0.0034324656127033394,0.01347708894757618,0.10327462230338076
Split bengal gram sweet rice (Channa dal sweet rice),190.21,41.07,4.15,0.64,19.41,2.23,0.0,30.37,2,Healthy,0.021817990641807384,0.4726077428665058,0.0033647021712666808
Sweet poori (Meethi poori),782.75,14.26,2.12,79.63,7.15,1.54,0.0,34.24,19,Unhealthy,0.002708399872241829,0.5014025245090181,0.10173107633330983
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),441.08,60.0,9.84,18.41,31.12,6.02,35.14,25.2,12,Unhealthy,0.022308878207984245,0.5186666666580223,0.04173846014319004
Spinach burfi (Palak burfi),121.17,12.76,2.71,6.81,12.12,1.17,5.65,93.68,3,Moderate,0.02236527193181179,0.9498432601136486,0.056202030205032574
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),366.59,62.66,9.51,7.93,24.73,8.16,15.56,53.3,6,Moderate,0.025941787828293348,0.3946696457006916,0.02163179573905008
Sprouted moong daliya ,111.56,14.77,2.81,4.71,1.67,3.12,0.0,22.62,-2,Healthy,0.02518823951214424,0.1130670277513157,0.04221943348832718
Sprouted moong poha ,192.6,26.6,5.59,6.89,1.93,3.13,0.0,28.39,-2,Healthy,0.0290238836966302,0.07255639097471592,0.03577362409119536
Pearl millet ladoo (Bajra ladoo),319.66,50.98,9.61,8.06,27.44,6.0,0.0,118.74,6,Moderate,0.030063192141556453,0.5382502942224746,0.0252142901832409
Paushtik ladoo,485.87,60.34,7.65,24.98,38.12,4.57,52.71,20.67,18,Unhealthy,0.01574495235347779,0.6317533974041804,0.05141292938429742
Paushtik roti,149.26,26.59,7.17,1.51,2.03,5.74,0.0,52.74,-8,Healthy,0.04803698244641541,0.07634449040705736,0.010116575103777862
Semolina carrot vada (Suji gajar vada),699.53,6.52,1.56,74.07,1.21,1.07,1.18,26.47,17,Unhealthy,0.0022300687604502596,0.18558282205742596,0.10588538018368635
Dhokla,216.49,30.68,13.45,5.28,4.78,4.95,5.16,123.21,-6,Healthy,0.0621275809503343,0.15580182528827244,0.024389117280131236
Kashmiri tea (Kehwa),24.9,5.23,0.17,0.51,5.14,0.16,0.0,3.19,1,Healthy,0.006827309236673603,0.9827915868101735,0.020481927710020807
Steeped hot coffee,15.91,3.01,0.39,0.33,2.96,0.0,0.0,10.4,0,Healthy,0.024512884976460536,0.9833887039922297,0.020741671903158915
Hot chocolate,90.01,9.02,3.43,4.61,8.86,0.0,0.02,113.63,1,Healthy,0.03810687701324179,0.982261640689328,0.051216531495931375
Cold coffee (with cream),82.76,11.98,1.93,3.29,11.91,0.0,3.29,64.43,3,Moderate,0.023320444658973892,0.9941569281307048,0.03975350410778451
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.45,11.15,2.01,2.77,9.94,0.27,1.3,68.3,1,Healthy,0.026291693917249285,0.8914798205478492,0.03623283191581121
Flavoured milkshake,66.78,8.65,2.06,2.83,8.61,0.0,0.0,75.05,0,Healthy,0.030847559148984013,0.9953757224282801,0.0423779574716625
Jal jeera,30.24,6.7,0.44,0.26,5.71,0.95,0.0,24.72,0,Healthy,0.014550264549783391,0.8522388058429494,0.008597883597599276
Gingo,48.02,12.42,0.14,0.06,12.08,0.17,0.0,6.33,2,Healthy,0.0029154518949830186,0.9726247986334441,0.0012494793835641507
Mintade,40.32,10.59,0.03,0.02,10.47,0.03,0.0,2.1,2,Healthy,0.0007440476190291656,0.9886685551474346,0.0004960317460194437
Canjee,6.61,0.44,0.24,0.42,0.21,0.36,0.0,5.82,0,Healthy,0.036308623292540296,0.47727272618801647,0.06354009076194551
Cauliflower canjee (Phoolgobhi ki canjee),6.9,0.35,0.39,0.42,0.09,0.49,0.0,6.26,0,Healthy,0.056521739122243224,0.25714285640816326,0.06086956520856962
Potato canjee (Aloo canjee),16.26,2.69,0.44,0.39,0.1,0.43,0.0,5.21,0,Healthy,0.0270602706010418,0.03717472117577148,0.023985239850923417
Vermicelli porridge (Semiya/Seviyan porridge),78.4,10.56,2.5,2.98,7.04,0.48,0.62,72.96,0,Healthy,0.03188775510163408,0.6666666666035354,0.03801020408114782
Semolina upma (Suji/Rava upma),147.89,16.31,3.3,7.49,1.31,3.24,0.0,21.57,-2,Healthy,0.022313881939128314,0.0803188228031687,0.05064575021941548
Vermicelli upma (Semiya/Seviyan upma),149.11,16.88,3.11,7.45,1.4,3.21,0.0,20.3,-1,Healthy,0.020857085373074527,0.08293838862067901,0.04996311447890844
Rice upma,151.27,17.96,2.63,7.46,1.13,2.12,0.0,17.57,0,Healthy,0.017386130759454048,0.0629175946512852,0.04931579295267194
Bread upma,129.51,12.6,2.8,7.75,1.56,1.96,0.0,45.22,0,Healthy,0.021619952127081926,0.12380952379969766,0.059840938923173194
Vegetable upma,146.47,16.46,4.73,6.63,1.39,4.19,0.0,26.68,-3,Healthy,0.03229330238252002,0.08444714458782215,0.04526524202877542
Poha,294.53,35.05,6.09,14.14,0.87,3.72,0.0,37.67,0,Healthy,0.020677010830744996,0.0248216833088496,0.04800869181391367
Vegetable poha,180.52,21.52,4.89,8.07,1.4,3.76,0.0,28.01,-3,Healthy,0.027088411256220427,0.06505576207876135,0.04470418790136991
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.89,19.42,6.97,5.11,1.11,4.25,0.0,39.34,-6,Healthy,0.04499967718997354,0.057157569513019695,0.03299115501302221
Paneer stuffed cheela/chilla,205.19,19.16,11.44,8.89,3.81,4.03,0.0,151.3,-5,Healthy,0.055753204346918696,0.19885177451989292,0.043325698133226155
Indian style egg bhujia (Anda bhujia (Indian style)),102.83,3.76,6.1,7.02,1.95,1.53,145.28,31.9,-1,Healthy,0.05932120976311075,0.5186170211386657,0.06826801517000614
French omelette/omlet,211.04,0.41,10.03,18.86,0.1,0.38,300.44,46.35,3,Moderate,0.04752653525375509,0.24390243842950626,0.08936694465461824
Puffy omelette/omlet,188.15,0.08,8.82,16.84,0.08,0.0,268.82,34.96,2,Healthy,0.04687749136302484,0.9999999875000002,0.08950305607180706
Orange omelette/omlet,194.66,1.68,8.93,16.84,1.68,0.0,268.82,37.33,2,Healthy,0.04587485872780297,0.9999999994047618,0.08650981197941791
Cheese and mushroom omelette/omlet,205.63,1.68,9.69,17.82,1.07,0.93,184.53,148.77,1,Healthy,0.047123474201006064,0.636904761525652,0.0866605067349771
Spanish omelette/omlet,157.45,5.1,8.25,11.44,1.03,2.54,145.23,31.72,-3,Healthy,0.052397586535075286,0.20196078427412537,0.07265798666197106
Mixed stock,25.19,0.33,2.06,1.71,0.2,0.15,10.55,2.06,-1,Healthy,0.08177848352196194,0.6060606042240587,0.06788408098182278
Meat stock,24.48,0.0,2.1,1.78,0.0,0.0,11.03,0.86,-1,Healthy,0.08578431372198593,0.0,0.07271241829768331
White stock,6.99,0.4,0.07,0.56,0.24,0.17,1.39,1.58,0,Healthy,0.010014306150212546,0.5999999984999999,0.08011444920170037
Meat consomme (with mutton),29.76,0.51,14.86,13.68,0.24,0.71,0.0,115.88,-1,Healthy,0.4993279569724688,0.47058823437139563,0.45967741933939255
Consomme au julienne,27.76,1.49,12.49,10.66,0.83,1.38,6.4,85.89,-3,Healthy,0.44992795387428214,0.5570469794919147,0.3840057636749277
Consomme au vermicelli,29.94,1.3,15.23,12.98,0.27,0.81,7.85,97.34,-1,Healthy,0.5086840347191488,0.20769230753254436,0.4335337341204564
Green pea soup (Matar ka soup),39.81,3.63,11.06,12.9,0.87,2.49,4.16,46.63,-3,Healthy,0.27781964329872344,0.23966942142157868,0.3240391861259975
Spinach soup (Palak ka soup),32.59,3.03,10.54,14.26,0.29,1.98,4.24,56.23,-3,Healthy,0.3234120895881125,0.09570957092550839,0.4375575329721523
Mixed vegetable soup,35.71,2.95,8.22,11.66,1.64,1.64,3.87,50.69,-3,Healthy,0.23018762250825578,0.5559322032013788,0.32651918229273263
Cheese soup,41.13,1.87,12.39,17.07,0.84,1.8,9.56,83.65,-1,Healthy,0.3012399708168918,0.449197860722354,0.41502552880099625
Mulligatawny soup,54.42,8.24,11.26,13.28,1.26,2.6,3.05,43.89,-3,Healthy,0.20690922454599578,0.15291262134066594,0.24402793090327035
Cream of carrot soup,59.77,5.69,8.27,12.35,1.77,1.98,6.67,57.24,-3,Healthy,0.13836372762023819,0.31107205618434586,0.20662539735307636
Cream of broccoli soup,56.14,3.72,8.97,12.75,1.59,1.89,7.67,66.55,-2,Healthy,0.15977912361667657,0.427419354723812,0.22711079443841983
Cream of potato soup,60.2,6.14,8.1,12.05,1.24,1.51,6.53,51.97,-2,Healthy,0.13455149501437622,0.2019543973612452,0.20016611295348563
Almond soup (Badam ka soup),78.65,3.68,10.13,13.8,1.94,0.91,28.18,114.95,-2,Healthy,0.12879847425138208,0.5271739129002244,0.17546090273139908
Cold cucumber cream soup ,11.88,1.76,0.34,0.34,0.51,0.73,0.72,8.02,0,Healthy,0.02861952861711957,0.28977272710808366,0.02861952861711957
Cold tomato soup,16.9,0.59,0.11,1.56,0.22,0.16,3.88,4.2,0,Healthy,0.00650887573925983,0.3728813553002011,0.09230769230223032
Chicken stew,127.55,4.44,7.19,8.91,1.43,1.82,32.34,31.53,-2,Healthy,0.056370050959965744,0.32207207199953325,0.06985495883912306
Veg paneer stew,145.55,10.22,6.98,8.41,4.85,3.08,0.0,160.51,-3,Healthy,0.04795602885573373,0.47455968684201955,0.057780831329043075
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.27,26.37,4.37,7.27,2.71,5.16,0.0,24.91,-3,Healthy,0.022847283944043253,0.10276829730364928,0.038009097087687516
Methi parantha/paratha,148.36,22.19,4.27,4.34,2.44,5.09,0.0,65.85,-5,Healthy,0.028781342679773645,0.10995944118476973,0.029253167969606003
Bathua poori,598.79,13.85,2.35,59.14,0.41,1.87,0.6,30.83,16,Unhealthy,0.00392458123882509,0.029602888084505206,0.09876584445281525
Gram flour poori (Besan poori),697.66,10.93,2.59,71.51,0.35,1.94,0.73,7.09,16,Unhealthy,0.0037124100564691793,0.03202195791106844,0.10249978499540967
Beetroot poori (Chukandar ki poori),527.66,12.29,1.91,52.18,0.54,1.4,0.53,5.38,15,Unhealthy,0.003619755145351894,0.04393816110301561,0.09888943637929938
Peas poori (Matar ki poori),592.83,14.92,3.04,57.69,0.48,2.25,0.59,8.96,15,Unhealthy,0.005127945616778625,0.03217158176728072,0.09731288902367066
Peas kachori (Matar kachori),584.68,13.25,3.21,57.51,0.5,2.03,0.0,14.25,15,Unhealthy,0.005490182664011955,0.037735849053755786,0.09836149688701792
Pizza,146.77,9.94,6.85,8.72,1.38,1.71,18.65,77.23,-2,Healthy,0.04667166314610157,0.13883299797396045,0.05941268651591325
Bacon and mushroom pancake,157.67,8.47,6.82,10.6,1.23,1.59,39.23,44.74,-1,Healthy,0.04325489947330974,0.14521841792854562,0.06722902264180106
Cheese and tomato pancake,147.39,10.66,5.15,9.28,3.48,1.06,38.27,127.51,0,Healthy,0.03494131216476735,0.3264540337404827,0.06296220910466815
Minced meat pancake (with chicken),116.04,8.18,12.01,10.48,1.29,0.7,33.26,64.72,-1,Healthy,0.10349879351858411,0.1577017114721636,0.09031368493545058
Eggplant/Brinjal rice (Vangi bhat),184.8,31.74,5.28,3.67,4.36,4.44,0.0,36.02,-4,Healthy,0.028571428571273965,0.13736609955458837,0.019859307359199895
Kashmiri 'tahar',98.21,19.11,1.95,1.37,0.17,0.98,3.02,3.93,-1,Healthy,0.0198554118723159,0.008895866038257674,0.013949699623114249
Cumin pulao (Jeera/Zeera pulao),135.24,23.61,2.47,3.2,0.64,1.4,0.0,7.25,0,Healthy,0.018263827269903405,0.027107157982757004,0.02366163856829591
Peas pulao (Matar pulao),108.87,18.42,3.89,1.9,1.3,3.21,0.0,18.18,-4,Healthy,0.03573068797615752,0.07057546145110882,0.01745200698064249
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.53,19.72,3.6,2.3,1.59,3.16,0.0,19.09,-4,Healthy,0.030893332188870734,0.08062880324134743,0.019737406676222966
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.51,21.55,3.44,2.58,1.99,2.69,0.0,16.51,-3,Healthy,0.027408174647220073,0.0923433874667126,0.020556130985415057
Mutton pulao,130.77,11.26,6.52,10.78,1.0,1.65,2.35,49.87,-1,Healthy,0.04985853024355847,0.08880994670614477,0.08243480920637428
Chicken pulao,108.24,11.17,6.07,8.48,0.99,1.64,11.55,32.25,-1,Healthy,0.05607908351758981,0.08863025961605817,0.07834441980711064
Mexican rice,120.57,14.21,4.62,4.88,1.44,1.64,11.9,14.51,-1,Healthy,0.03831798954932141,0.10133708655163003,0.040474413203612225
Plain khitchdi (Plain khichri/khichdi),57.03,10.04,1.72,1.01,0.12,0.85,2.14,5.05,-1,Healthy,0.03015956514062494,0.011952191233869303,0.017709977204669297
