Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Nutrition_Score,Nutrition_Label
Masala dosa paneer fillings,243.12,29.76,10.31,8.84,4.81,3.11,7.29,171.23,-2,Healthy
Uttapam,255.95,36.28,6.18,9.03,1.5,4.4,10.57,40.86,-1,Healthy
Appam,267.7,13.28,3.12,22.63,4.16,6.19,0.0,6.36,4,Moderate
Beans and macaroni,136.08,14.24,4.58,7.01,1.68,2.05,19.67,86.86,-1,Healthy
Spaghetti bolognese,97.43,10.04,9.35,9.51,1.41,1.08,13.91,73.66,-2,Healthy
Meat and macaroni casserole,161.55,16.12,9.15,10.17,1.0,1.19,2.13,68.28,-1,Healthy
Spaghetti with meat balls and tomato sauce,158.13,10.46,5.61,10.64,1.87,1.11,16.15,40.82,0,Healthy
Spaghetti with paneer balls and tomato sauce,158.54,12.72,3.95,10.44,3.03,1.25,2.57,80.73,1,Healthy
Lasagne with meat sauce,63.38,5.38,2.9,3.43,1.04,0.47,8.8,24.61,0,Healthy
Lasagne with vegetables,49.23,5.9,1.71,2.16,1.37,0.66,2.81,32.89,-1,Healthy
Home made egg noodles,240.84,42.92,6.55,4.37,1.03,1.6,38.27,15.96,-1,Healthy
Sour lentils (Khatti dal),34.79,6.04,2.22,0.12,1.25,1.22,0.0,8.29,-2,Healthy
Urad special dehusked,69.43,8.86,3.14,2.17,1.32,2.5,4.62,16.4,-3,Healthy
Arhar with spinach (Arhar dal aur palak),52.84,4.77,2.05,2.76,0.23,1.3,6.1,21.81,-2,Healthy
Moong dal with vadi,24.08,1.0,0.4,2.05,0.45,0.39,4.75,2.99,0,Healthy
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.74,3.37,1.13,0.88,0.83,1.6,0.0,16.56,-1,Healthy
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.41,2.85,1.11,0.87,0.44,1.54,0.0,15.56,-1,Healthy
Green gram whole with baghar (Sabut moong dal with tadka),63.43,6.8,3.23,2.48,0.15,3.02,5.45,25.04,-5,Healthy
Urad sabut special,79.39,5.03,2.33,5.46,0.86,2.15,13.38,21.45,-2,Healthy
Kabuli channa curry,68.57,7.63,2.92,3.06,1.24,1.12,0.15,32.03,-1,Healthy
Besan gatte curry,189.38,16.26,7.75,10.72,4.5,3.25,2.8,151.08,-2,Healthy
Dry masala chops,135.07,3.3,9.08,9.54,2.27,0.86,2.24,112.25,-1,Healthy
Mutton korma,115.64,2.53,7.09,8.54,1.64,0.78,3.9,79.07,-1,Healthy
Shahi keema kofta curry,418.13,1.73,4.14,43.83,0.78,0.91,14.97,14.51,14,Unhealthy
Minced meat ball curry,109.79,2.86,6.82,7.85,1.27,1.49,24.77,23.84,-2,Healthy
Boti kebab,132.86,3.06,9.22,9.27,2.09,0.76,1.21,98.67,-1,Healthy
Mutton seekh kebab,133.94,3.11,11.25,8.43,1.4,1.88,0.0,117.44,-3,Healthy
Indian lamb and egg curry (Nargisi kofta),335.75,2.07,3.84,34.7,0.75,0.6,44.04,12.91,14,Unhealthy
Soya chunks sweet and sour (Nutrinugget sweet and sour),500.94,3.27,2.85,55.99,1.1,0.86,23.51,13.89,16,Unhealthy
Soya chunks korma (Nutrinugget korma),131.43,7.67,3.86,9.5,4.66,2.57,3.32,89.7,1,Healthy
Mushroom matar,70.77,5.33,2.79,4.11,1.39,3.13,0.0,21.42,-3,Healthy
Soya chunks and peas (Nutrinugget matar),82.62,5.82,3.03,5.11,1.64,2.86,0.0,20.32,-2,Healthy
Vegetable yakhni,406.06,1.94,1.18,43.8,1.44,0.61,1.92,43.67,15,Unhealthy
Spinach mushroom (Palak mushroom),47.63,2.95,1.94,2.96,1.0,2.27,2.89,49.75,-3,Healthy
Vegetarian nargisi kofta curry,332.15,6.58,2.29,32.94,1.65,0.86,1.03,47.09,14,Unhealthy
Roast chicken,199.9,0.1,20.49,13.06,0.05,0.03,69.66,13.61,1,Healthy
Shahi chicken masala,163.7,4.07,9.82,12.02,2.86,0.96,24.78,82.68,0,Healthy
Tomato chicken,111.68,2.13,10.57,6.71,0.93,1.42,27.94,21.24,-3,Healthy
Creamy chicken,152.87,3.13,13.52,9.57,2.11,0.69,39.28,50.37,-1,Healthy
Broccoli chicken ala king,119.56,5.34,7.97,7.57,2.49,1.92,27.85,73.36,-3,Healthy
Ginger chicken,129.17,5.6,8.24,8.24,1.95,1.21,19.24,18.41,-3,Healthy
Chicken sweet and sour,445.09,2.67,6.92,47.59,0.89,0.58,32.47,21.98,15,Unhealthy
Chicken korma,147.96,5.43,9.83,9.67,3.32,1.82,23.66,68.66,-2,Healthy
Bengal fish curry (Bengali machli curry),109.43,4.42,7.26,7.03,2.39,1.93,13.92,44.44,-3,Healthy
Fish finger,542.9,4.47,5.66,55.82,0.17,0.34,30.0,11.38,16,Unhealthy
Fish in coconut milk (Nariyal ke doodh ke saath machli),86.21,2.73,8.66,4.43,1.55,1.52,17.13,21.94,-4,Healthy
Prawn curry (with coconut) (Jhinga curry),109.55,3.1,8.54,6.93,2.03,1.56,37.12,37.25,-3,Healthy
Baked stuffed fish,121.96,2.12,16.14,5.43,0.35,0.38,36.95,18.8,-3,Healthy
Fish pie,120.9,7.74,9.25,5.77,1.13,0.76,23.97,36.15,-3,Healthy
Crispy baked fish,138.4,9.59,10.95,6.41,1.53,1.21,28.89,60.04,-3,Healthy
Fish souffle,139.71,5.14,10.51,8.55,2.09,0.19,84.69,63.87,-2,Healthy
Potato curry (Aloo ki sabzi),89.56,10.42,1.52,4.47,1.58,2.42,0.0,23.74,0,Healthy
Egg curry (Anda curry),117.52,4.03,5.38,8.81,1.9,2.09,120.74,41.59,-2,Healthy
Vegetable curry with coconut ,83.07,7.19,2.77,4.66,1.41,3.35,0.0,19.63,-2,Healthy
Curd with potatoes (Dahi aloo),59.9,7.15,1.56,2.72,1.82,1.19,1.45,36.36,-1,Healthy
Potato kofta curry (Aloo kofta curry),455.4,2.78,0.56,49.08,0.63,0.56,2.6,7.77,15,Unhealthy
Yam kofta curry (Zimikand/Suran kofta curry),322.88,3.75,0.71,33.84,0.63,1.04,3.54,8.35,13,Unhealthy
Jackfruit kofta curry (Kathal ka kofta curry),321.08,3.17,0.8,33.83,2.4,0.96,3.54,11.36,13,Unhealthy
Spinach and potato (Palak aloo),57.17,5.91,1.63,2.82,0.93,2.04,0.0,43.67,-3,Healthy
Mooli bhujia,91.2,4.74,1.69,7.25,1.07,2.36,0.0,131.88,0,Healthy
Bathua bhujia,90.9,3.63,2.26,7.29,1.08,3.8,0.0,165.84,-2,Healthy
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,6.09,8.21,9.36,1.26,1.84,32.9,31.54,-2,Healthy
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,7.03,5.76,8.17,3.81,2.35,18.79,29.82,-2,Healthy
Dry arbi (Sookhi arbi),134.95,11.11,2.12,8.97,1.55,2.47,0.0,22.77,0,Healthy
Masala arbi,185.38,16.16,3.01,11.9,0.81,3.1,0.0,32.08,1,Healthy
Peas brinjal bhartha (Matar baingan bhartha),84.55,5.02,2.05,6.05,1.57,3.63,0.0,19.63,-1,Healthy
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,4.5,1.83,9.27,1.42,3.57,0.0,67.88,0,Healthy
Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,4.35,1.91,70.4,0.26,1.75,0.0,27.61,17,Unhealthy
Beans foogath,105.06,3.26,2.03,9.22,1.7,4.15,0.0,44.2,-1,Healthy
Stuffed bittergourd (wet) (Bharwa karele),162.36,4.68,1.36,15.24,1.95,2.86,0.0,17.25,4,Moderate
Jackfruit/Kathal (dry),488.97,4.56,0.93,51.78,3.55,1.33,0.0,12.79,15,Unhealthy
Yam fried (Zimikand/Suran fried),491.76,5.47,0.79,51.79,0.8,1.44,0.0,8.11,15,Unhealthy
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,8.23,2.75,5.54,1.47,3.26,0.0,21.05,-2,Healthy
Vegetable jalfrezi,68.48,5.43,1.4,4.38,1.79,2.97,0.0,27.11,-2,Healthy
Vegetables stir fry ,30.78,3.19,1.04,1.47,0.86,1.37,0.0,13.3,-1,Healthy
Broccoli delight,40.7,2.34,2.49,2.48,1.08,2.83,0.0,26.99,-4,Healthy
Dhansak (vegetarian),82.8,7.28,3.32,4.18,0.91,4.17,0.0,26.4,-4,Healthy
Cauliflower basket,90.95,3.97,5.21,5.88,1.47,2.4,51.1,100.19,-3,Healthy
Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,4.36,5.84,5.8,1.52,1.18,45.61,71.83,-2,Healthy
Ducheese potato,140.54,10.94,3.6,9.01,0.29,1.29,85.15,18.1,1,Healthy
Roast potatoes ,87.32,14.52,1.53,2.35,0.33,1.71,5.51,10.38,0,Healthy
Stuffed baked potatoes ,100.2,11.03,3.82,4.39,0.4,1.31,72.99,25.72,-1,Healthy
Potato nests,111.62,11.05,5.71,4.77,1.41,2.49,26.5,55.25,-3,Healthy
Parsley potato,119.51,13.81,1.49,6.28,0.34,1.59,15.71,11.43,2,Healthy
Creamed spinach and mushroom,419.62,3.17,2.28,44.14,1.17,1.02,7.15,65.49,14,Unhealthy
Fricassee of Mushroom,106.66,8.13,3.65,6.63,2.51,1.23,13.55,84.97,0,Healthy
Cauliflower au gratin,145.9,9.13,4.45,10.2,3.01,1.44,22.15,119.69,1,Healthy
Vegetable and cheese pie,126.88,8.76,4.03,8.28,2.69,1.91,18.88,99.48,-1,Healthy
Spinach souffle ,150.18,6.27,7.36,10.52,0.89,1.44,114.71,133.69,-1,Healthy
Beetroot and egg salad (Chukandar aur ande ka salad),84.92,3.4,3.36,6.45,1.97,0.55,82.25,18.13,1,Healthy
Sour cream potato salad,121.9,9.05,2.89,8.13,0.84,1.21,47.29,23.25,1,Healthy
Tossed green salad,49.88,3.82,1.33,3.24,1.9,1.33,0.0,33.71,0,Healthy
Spring basket salad,160.46,11.61,3.36,11.3,1.46,3.09,8.17,45.65,0,Healthy
Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,4.72,2.09,0.93,2.28,1.66,2.87,68.49,-2,Healthy
Chicken and tomato towers,100.55,2.36,6.9,6.99,1.21,1.14,20.73,17.54,-2,Healthy
Jellied sunshine fruit salad,48.86,4.21,5.85,0.85,2.86,1.8,0.0,37.14,-4,Healthy
Tomato aspic,50.37,5.02,6.87,0.26,3.21,1.58,0.0,44.28,-5,Healthy
Frozen frosty fruit salad (Phalon ka salaad),103.51,15.61,1.68,4.17,14.38,0.26,26.33,28.61,4,Moderate
French dressing,733.77,3.68,0.32,79.65,3.01,0.22,0.0,6.98,19,Unhealthy
Mayonnaise without eggs,329.05,3.98,2.13,33.84,3.68,0.04,0.0,75.54,14,Unhealthy
Curd dressing ,78.8,8.03,5.59,2.9,7.57,0.22,10.52,194.59,-2,Healthy
Carrot raita (Gajar ka raita),64.78,7.19,4.14,2.19,5.99,1.69,6.98,146.72,-2,Healthy
Pumpkin raita (Kaddu ka raita),55.6,6.02,3.74,1.88,5.48,1.04,6.47,130.11,-2,Healthy
Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,7.31,7.05,6.19,6.17,1.79,8.26,191.01,-1,Healthy
Spinach raita (Palak ka raita),52.75,5.06,3.95,1.86,3.97,1.39,5.41,142.96,-3,Healthy
Bathua raita,54.4,5.31,4.13,1.76,4.11,2.19,5.41,206.31,-4,Healthy
Pineapple raita (Ananas ka raita),67.74,8.62,3.9,2.02,8.12,1.39,6.93,134.53,-2,Healthy
Banana raita (Kele ka raita),89.03,13.51,4.13,2.07,10.11,1.0,6.93,133.23,0,Healthy
Mango raita (Aam ka raita),67.37,8.23,3.9,2.14,7.87,0.89,6.93,136.06,-1,Healthy
Guava raita (Amarood ka raita),64.36,7.27,4.19,2.07,6.71,3.0,6.93,136.93,-4,Healthy
Grapes raita (Angoor ka raita),72.59,9.66,3.98,2.07,8.51,0.71,6.93,134.52,-1,Healthy
Bottle gourd kheer (Ghiya/Lauki kheer),84.07,10.0,2.7,3.86,9.63,0.55,0.0,94.18,3,Moderate
Pumpkin kheer (Kaddu ki kheer),86.35,10.44,2.76,3.86,10.12,0.63,0.0,95.61,3,Moderate
Apple kheer (Seb ki kheer),81.3,11.34,2.14,3.18,10.71,0.51,0.0,75.67,3,Moderate
Caramel custard (baked),122.7,14.95,5.11,5.01,14.92,0.0,81.15,90.59,2,Healthy
Vanilla ice cream without egg,228.67,14.21,2.69,18.15,13.45,0.0,41.7,81.27,9,Moderate
Vanilla ice cream with egg,214.85,11.71,4.16,17.02,11.69,0.0,86.75,77.42,7,Moderate
Strawberry ice cream,215.61,12.26,4.15,16.96,11.6,0.0,86.39,77.08,7,Moderate
Chocochip ice cream,241.45,16.75,4.23,17.93,16.08,0.0,79.34,73.22,11,Unhealthy
Choconut ice cream,273.96,23.13,5.04,18.49,21.02,0.51,65.65,67.38,13,Unhealthy
Pear chocholate sunday,183.49,15.02,2.08,13.11,14.41,0.07,29.11,56.67,8,Moderate
Chocolate sauce,263.2,43.21,1.91,10.39,42.06,0.0,21.3,18.8,15,Unhealthy
Coffee ice cream,150.62,14.09,3.15,9.43,13.35,0.0,22.23,95.72,5,Moderate
Coffee pear alaska,203.99,19.36,2.88,13.22,16.88,0.15,28.43,60.61,8,Moderate
Crunchy butterscotch,277.32,19.92,3.11,20.99,17.73,0.47,46.39,72.26,12,Unhealthy
Peach melba ice cream,200.85,16.31,2.06,14.51,13.35,0.06,33.23,60.55,7,Moderate
Vanilla ice cream with apples in hot cherry sauce,196.32,22.75,1.73,11.45,14.19,0.26,26.15,56.34,7,Moderate
Grape and orange whip,57.39,6.72,1.41,2.62,5.66,0.97,6.51,17.4,0,Healthy
Honey banana cream,125.49,13.64,2.78,6.68,10.51,0.7,14.27,43.52,4,Moderate
Raspberry bavarian cream,150.1,17.82,3.34,7.88,15.3,2.19,19.94,26.4,2,Healthy
Fruit delight,107.09,9.11,2.09,7.09,9.03,0.09,12.28,71.69,4,Moderate
Creamy chocolate mousse,230.52,9.53,6.85,18.16,8.99,0.0,129.13,45.25,5,Moderate
Cold lemon souffle,169.87,15.62,5.89,9.78,13.88,0.0,98.14,55.03,5,Moderate
Cold orange souffle,173.19,16.27,5.94,9.82,14.42,0.11,98.65,55.45,5,Moderate
Cold pineapple souffle,181.22,16.85,6.23,10.39,14.99,0.0,104.39,57.13,5,Moderate
Cold vanilla souffle,179.54,16.29,6.22,10.32,14.49,0.0,100.85,62.47,5,Moderate
Cold chocolate souffle,187.53,17.22,6.37,10.86,15.31,0.0,98.07,62.91,5,Moderate
Stewed fruit (with pear),74.32,18.22,0.25,0.32,17.67,2.84,0.0,5.94,0,Healthy
Apricot fool,240.79,33.64,1.54,11.35,21.29,1.0,27.58,26.37,9,Moderate
Pavlova,200.6,21.84,1.84,12.29,20.37,0.06,31.94,23.0,9,Moderate
Apple crumb pudding,220.85,35.17,1.54,8.87,27.69,1.33,21.68,38.49,9,Moderate
Steamed cake with chocolate sauce,301.91,29.06,4.49,19.01,19.72,0.29,78.72,67.76,13,Unhealthy
Hot lemon souffle,155.25,16.31,5.29,7.93,12.07,0.14,116.79,48.77,2,Healthy
Gulab jamun with milk powder,471.15,28.24,0.85,40.15,27.04,0.05,1.25,26.13,21,Unhealthy
Chum chum,130.05,28.27,1.52,1.92,27.84,0.02,0.1,62.58,7,Moderate
Dil bahar,130.05,28.27,1.52,1.92,27.84,0.02,0.1,62.58,7,Moderate
Rasbhari,130.05,28.27,1.52,1.92,27.84,0.02,0.1,62.58,7,Moderate
Rajbogh,133.7,28.16,1.71,2.28,27.66,0.11,0.1,63.23,6,Moderate
Rasgulla,118.64,25.79,1.38,1.75,25.4,0.01,0.09,57.09,6,Moderate
Rasmalai,135.55,29.17,1.61,2.11,28.71,0.07,0.09,62.31,6,Moderate
Khoa coconut burfi,411.45,36.55,9.98,26.01,35.6,4.07,0.0,309.84,16,Unhealthy
Danedar burfi,102.68,12.33,3.24,4.72,11.98,0.09,0.0,107.53,2,Healthy
Semolina burfi (Suji/Rava burfi),348.67,47.1,3.47,16.86,28.67,2.8,39.41,14.86,13,Unhealthy
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),186.18,17.02,1.75,12.66,16.11,4.29,5.11,21.76,4,Moderate
Khoa ladoo,396.02,34.43,12.21,24.09,33.37,3.08,0.0,358.61,16,Unhealthy
Wheat and gram flour ladoo (Atta besan ladoo),501.7,50.5,9.38,29.86,18.46,6.01,60.99,35.27,14,Unhealthy
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),441.84,48.02,5.44,25.45,19.79,4.27,58.8,18.04,13,Unhealthy
Sesame chickpeas brittle (Til aur channe ki chikki),282.74,50.49,8.5,4.66,36.48,5.54,0.0,150.73,7,Moderate
Murmura chikki,253.82,59.59,2.12,0.32,48.27,0.37,0.0,63.3,13,Unhealthy
Masala onion pakora/pakoda (Pyaaz ke pakode),551.64,6.48,2.05,57.61,1.58,1.44,0.0,11.06,15,Unhealthy
Masala green chilli pakora/pakoda (Hari mirch kay pakode),668.76,5.55,2.22,71.01,0.27,1.34,0.0,8.58,17,Unhealthy
Chicken pakora/pakoda,590.09,4.55,6.03,60.98,0.22,0.96,11.98,9.08,16,Unhealthy
Fish pakora/pakoda,577.03,4.55,5.97,59.52,0.22,0.96,9.04,12.65,16,Unhealthy
Paneer cutlet,672.2,7.62,4.59,69.38,2.52,0.39,0.0,107.86,18,Unhealthy
Sago cutlet/vadas (Sabudana cutlet/vadas),558.76,11.23,0.56,56.97,0.1,0.54,0.0,5.43,16,Unhealthy
Poshtik cutlet,496.45,7.39,2.0,50.94,0.32,1.35,0.0,14.94,15,Unhealthy
Egg cutlet (Anda cutlet),575.02,5.77,2.45,60.25,0.2,0.58,45.0,16.22,17,Unhealthy
Minced meat cutlet,531.86,5.61,5.1,54.47,0.31,0.4,16.5,20.82,16,Unhealthy
Vegetable samosa,443.11,13.22,2.21,42.22,0.74,1.52,4.06,10.37,14,Unhealthy
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),745.5,9.7,4.39,76.32,0.16,2.27,0.0,10.6,17,Unhealthy
Masala urad dal vada,703.78,9.93,4.32,71.62,0.7,2.71,0.0,11.87,16,Unhealthy
Khaman (dhokla),54.73,5.36,1.92,2.8,1.36,1.49,0.0,5.31,-2,Healthy
Instant dhokla,207.11,24.11,7.66,9.37,6.86,3.57,2.59,66.58,-1,Healthy
Tomato ginger chutney (Tamatar adarak ki chutney),44.66,9.11,1.05,0.32,6.31,2.14,0.0,23.63,-1,Healthy
Mint tomato chutney (Pudinay aur tamatar ki chutney),43.65,8.22,1.53,0.36,5.48,2.63,0.0,47.59,-1,Healthy
Coriander chutney (Hare dhaniye ki chutney),42.86,8.16,1.38,0.37,5.5,2.47,0.0,39.8,-1,Healthy
Gooseberry chutney (Amla chutney),43.02,8.83,1.44,0.62,0.06,4.58,0.0,46.4,-4,Healthy
Walnut chutney (Akhrot ki chutney),370.43,8.91,9.44,33.46,4.4,3.04,3.33,119.57,11,Unhealthy
Saunth/Sonth chutney with ginger,84.22,20.62,0.28,0.11,19.04,0.31,0.0,15.17,5,Moderate
Gun powder chutney,312.34,47.65,21.55,2.67,1.16,13.95,0.0,68.87,-7,Healthy
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,346.36,36.72,12.88,15.88,10.41,13.16,0.0,73.55,6,Moderate
Curd mint dip ,76.13,9.11,4.82,2.44,7.83,0.77,8.34,172.79,-2,Healthy
Curd vegetable dip,56.21,6.04,3.88,1.94,5.42,0.63,6.59,129.58,-1,Healthy
Mayonnaise vegetable dip,241.27,4.8,3.01,23.44,4.39,0.41,29.91,91.42,9,Moderate
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),150.68,20.51,4.03,6.31,1.79,2.1,13.52,76.75,-1,Healthy
Tomato sandwich (grilled),189.92,21.29,6.26,9.39,2.58,1.91,24.95,150.9,0,Healthy
French sandwich (toasted),186.75,14.82,6.82,11.51,1.82,1.37,104.86,100.73,0,Healthy
Peanut butter cucumber sandwich,243.33,29.76,9.04,10.56,2.91,3.35,0.0,95.35,-2,Healthy
Mint and peanut sandwich,273.59,31.83,7.18,13.88,2.78,3.67,21.7,114.99,0,Healthy
Spicy chutney sandwich,249.58,34.03,8.74,9.58,3.96,3.73,2.86,154.53,-3,Healthy
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),285.78,22.62,12.58,16.77,1.77,1.53,31.68,78.45,2,Healthy
Rolled sandwich,293.07,34.69,6.45,15.29,2.7,2.07,35.25,117.68,2,Healthy
Ribbon sandwich,239.26,24.76,6.26,13.37,4.66,2.92,34.85,157.85,1,Healthy
Checker board sandwich,348.37,25.94,7.37,24.65,2.9,2.22,64.42,188.02,10,Moderate
Submarine sandwich,216.92,13.6,6.09,15.32,2.5,1.24,62.46,72.35,3,Moderate
Cheese open sandwich,274.07,28.42,9.84,14.24,3.24,1.74,28.38,256.25,1,Healthy
Sunset and sunrise open sandwich,241.31,18.89,8.58,15.14,1.95,1.39,123.49,114.07,2,Healthy
Danish luncheon sandwich,193.82,17.77,9.03,10.1,1.13,1.52,124.4,77.13,-1,Healthy
Chicken and corn open sandwich,188.16,19.21,8.63,8.83,2.48,1.67,31.78,65.13,-2,Healthy
Chocolate sponge cake,239.86,39.54,9.13,5.51,25.0,0.52,173.46,33.99,3,Moderate
Chocolate swiss roll,306.08,26.97,6.01,19.76,18.83,0.29,138.28,42.79,13,Unhealthy
Lemon curd filling,225.62,26.41,3.43,12.58,26.13,0.0,118.13,16.39,11,Unhealthy
Jam filling,184.62,46.15,0.0,0.0,41.54,0.0,0.0,0.0,11,Unhealthy
Chocolate pastry,243.37,32.24,7.05,10.12,22.34,0.32,121.03,50.7,6,Moderate
Assorted pastry,230.74,31.99,6.78,8.91,19.7,0.43,131.02,47.2,4,Moderate
Orange gateau,178.05,27.01,4.78,6.02,18.33,0.68,87.91,41.69,6,Moderate
Black forest gateau,217.82,30.57,5.94,8.58,21.97,0.28,107.21,46.79,5,Moderate
Lemon cake,373.85,43.1,5.29,20.63,25.84,0.62,123.01,32.77,15,Unhealthy
Dundee cake,396.62,41.4,7.78,22.7,21.3,1.81,111.12,58.11,14,Unhealthy
Victorian sandwich cake,373.09,44.74,5.18,19.83,28.18,0.59,117.02,36.25,16,Unhealthy
Chocolate eggless cake,312.01,43.45,6.66,13.19,34.2,0.32,35.49,185.38,14,Unhealthy
Orange eggless cake,355.62,52.65,7.16,13.82,37.87,0.56,40.97,205.84,16,Unhealthy
Chocolate glace icing,436.29,62.43,3.22,20.8,59.88,0.0,44.49,26.75,21,Unhealthy
Butter icing,500.72,71.64,0.19,25.37,71.64,0.0,65.74,12.48,24,Unhealthy
Chocolate butter icing,469.59,61.72,3.21,24.77,59.82,0.0,54.9,31.87,23,Unhealthy
Almond biscuit (Badam ke biscuit),407.74,52.14,6.25,19.7,22.19,1.5,73.79,44.05,14,Unhealthy
Orange biscuit,354.78,62.11,3.63,11.01,42.63,0.75,51.51,20.35,16,Unhealthy
Gingerman biscuit,357.43,55.24,6.26,12.73,21.64,2.0,70.42,41.35,10,Moderate
Coffee drops,443.07,43.06,7.57,27.16,18.27,1.88,94.23,57.09,17,Unhealthy
Christmas biscuit,406.07,60.97,5.67,15.88,26.01,2.17,64.54,29.07,13,Unhealthy
Christmas wreath biscuit,386.05,58.07,5.43,15.01,24.89,2.28,60.87,29.71,12,Unhealthy
Christmas bell biscuit,404.85,60.79,5.66,15.84,25.94,2.33,64.34,32.0,13,Unhealthy
Christmas star biscuit,392.03,74.54,3.54,10.04,53.05,1.47,35.98,22.75,16,Unhealthy
Christmas tree biscuit,385.63,58.41,5.43,15.0,24.77,2.65,60.87,35.04,11,Unhealthy
Chocolate cream shells,427.17,59.26,5.1,19.34,34.72,0.9,80.56,28.53,18,Unhealthy
Jelly biscuit,404.61,55.24,4.23,19.33,29.76,2.02,44.67,36.46,15,Unhealthy
Cherry and walnut cookies,422.6,59.35,5.63,18.75,30.37,1.3,60.15,46.27,16,Unhealthy
Cheese straws,382.0,30.61,9.83,24.28,1.79,1.29,201.93,160.64,11,Unhealthy
Butterfly biscuit,341.45,25.33,9.98,22.11,2.44,1.02,169.12,202.49,10,Moderate
Flan pastry,445.8,47.84,6.72,25.04,6.22,1.58,102.33,21.85,13,Unhealthy
Fruit flan,261.35,34.71,3.3,12.48,9.52,0.71,49.52,19.28,7,Moderate
Orange cream flan,280.28,36.16,4.73,13.59,25.27,0.63,119.55,27.9,12,Unhealthy
Fruit puree tart,286.5,30.42,3.35,16.83,9.79,1.31,42.87,19.64,7,Moderate
Apple banana pie,243.99,32.12,3.13,11.39,12.96,1.89,24.66,21.23,6,Moderate
Lemon chiffon pie,259.31,27.63,4.88,14.52,11.39,0.66,70.3,34.43,6,Moderate
Orange chiffon pie,207.57,23.14,3.89,11.16,10.46,0.7,53.94,30.34,5,Moderate
Cream buns,215.74,14.16,4.45,15.81,5.95,0.31,93.93,45.27,6,Moderate
Savoury puffs,190.79,10.8,9.51,15.24,4.51,0.33,70.73,68.83,3,Moderate
Choux swans,216.34,14.92,4.35,15.6,6.13,0.35,92.21,44.67,6,Moderate
Potato aigrettes,530.03,8.01,2.35,54.24,0.73,0.45,49.7,9.2,16,Unhealthy
Cream horns,408.23,23.12,3.42,33.55,7.12,0.6,93.08,30.93,16,Unhealthy
Savoury cheese horns,295.15,21.38,5.66,20.71,2.74,0.73,50.63,121.83,6,Moderate
Paneer patties,338.58,22.79,7.6,23.96,4.04,1.18,45.19,129.9,10,Moderate
Vegetable patties ,261.92,20.98,4.01,17.74,1.49,2.62,39.33,18.96,4,Moderate
Pearl millet infant food (Bajra shishu aahaar),362.44,62.1,11.98,6.62,26.06,7.84,0.0,118.52,6,Moderate
Sajina,345.26,66.87,10.81,3.03,25.89,7.62,0.0,54.4,0,Healthy
Cereal mix ,120.81,21.84,3.32,2.02,10.68,2.03,0.0,21.4,-1,Healthy
Pulse mix,83.29,16.0,3.16,0.54,6.59,2.25,0.0,14.93,-1,Healthy
Shishu ahar,93.37,17.42,2.61,1.43,6.61,1.02,0.0,13.78,0,Healthy
Cereal pulse mix with amylase rice flour,151.57,27.8,4.27,2.74,8.84,3.47,0.0,12.61,-3,Healthy
Banana groundnut paste/puree,213.19,36.15,4.27,5.45,31.67,1.7,0.0,74.93,7,Moderate
Rice dal porridge (Chawal dal ki khichdi/khichri),383.33,65.04,10.8,8.33,26.54,4.51,0.0,50.46,7,Moderate
Lentils and semolina porridge (Dal suji porridge/daliya),117.29,23.19,3.26,1.06,13.84,1.44,0.0,44.74,1,Healthy
Spinach khichri (Palak khichri/khichdi),102.18,17.35,3.43,1.91,0.21,1.56,0.0,10.43,-2,Healthy
Vegetable mix,174.21,36.02,4.7,0.94,27.36,1.93,2.2,90.06,4,Moderate
Lentils and wheat porridge (Dal wheat porridge/daliya ),52.54,8.36,2.71,0.94,0.92,1.28,0.0,26.28,-2,Healthy
Maize porridge,89.57,15.64,2.14,1.89,7.69,1.68,0.0,17.02,0,Healthy
Spinach peanut burfi (Palak aur mungfali ki burfi),105.37,13.59,3.36,4.39,11.5,2.07,0.0,40.95,0,Healthy
Split bengal gram burfi/fudge (Channa dal burfi),287.36,54.63,4.65,7.09,43.38,2.06,15.06,16.44,12,Unhealthy
Chickpea flour cookies (Sweet besan rounds/cookies),207.01,39.64,4.29,3.42,30.66,2.56,6.15,54.95,5,Moderate
